date	turnover
31-Aug-15	33744.4
30-Sep-15	24699.2
31-Oct-15	17348
30-Nov-15	43525.7
31-Dec-15	34277.8
31-Jan-16	34591.64
27-Feb-16	35351.03
31-Mar-16	29789.59
30-Apr-16	43954.87
